EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
198,Donald,OConnell,DOCONNEL,650.507.9833,21-Jun-07,SH_CLERK,2600,,124,50
206,William,Gietz,WGIETZ,515.123.8181,07-Jun-02,AC_ACCOUNT,8300,,205,110
100,Steven,King,SKING,515.123.4567,17-Jun-03,AD_PRES,24000,,SKING,90
101,Neena,Kochhar,NKOCHHAR,515.123.4568,21-Sep-05,AD_VP,17000,,100,90
110,John,Chen,JCHEN,515.124.4269,28-Sep-05,FI_ACCOUNT,8200,,108,100
111,Ismael,Sciarra,ISCIARRA,515.124.4369,30-Sep-05,FI_ACCOUNT,7700,,108,100
112,Jose Manuel,Urman,JMURMAN,515.124.4469,07-Mar-06,FI_ACCOUNT,7800,,108,100
113,Luis,Popp,LPOPP,515.124.4567,07-Dec-07,FI_ACCOUNT,6900,,108,100
114,Den,Raphaely,DRAPHEAL,515.127.4561,07-Dec-02,PU_MAN,11000,,100,sridhar
115,Alexander,Khoo,AKHOO,515.127.4562,18-May-03,PU_CLERK,3100,,114,30
116,Shelli,Baida,SBAIDA,515.127.4563,24-Dec-05,PU_CLERK,2900,,114,30
135,Ki,Gee,KGEE,650.127.1734,12-Dec-07,ST_CLERK,2400,,122,50
136,Hazel,Philtanker,HPHILTAN,650.127.1634,06-Feb-08,ST_CLERK,2200,,122,50
137,Renske,Ladwig,RLADWIG,650.121.1234,14-Jul-03,ST_CLERK,3600,,123,50
138,Stephen,Stiles,SSTILES,650.121.2034,26-Oct-05,ST_CLERK,3200,,123,50
"""this is read mode example test the edge case scenario""",,,,,,,,,,
139,John,Seo,JSEO,650.121.2019,12-Feb-06,ST_CLERK,2700,,123,50
140,Joshua,Patel,JPATEL,650.121.1834,06-Apr-06,ST_CLERK,2500,,123,50
140,Joshua,Patel,JPATEL1234,650.121.1834,06-Apr-06,ST_CLERK,2500,,123,50
